sample_id,sample_name,group,treatment,replicate,description
S813_A1,A1,liquen,poluidos,1,liquen abacateiro
S813_A2,A2,liquen,poluidos,2,liquen amoreira
S813_A3,A3,liquen,poluidos,3,liquen palmeira imperial
S813_A4,A4,musgo,epifita,1,musgo
S813_A5,A5,musgo,epifita,2,musgo
S813_A6,A6,musgo,epifita,3,musgo
S813_A7,A7,musgo,rupicula,1,musgo
S813_A8,A8,musgo,rupicula,2,Amostra A8
S813_A9,A9,musgo,rupicula,3,Amostra A9
S813_A10,A10,musgo,rupicula,4,Amostra A10
S813_A11,A11,musgo,rupicula,5,Amostra A11
S813_A12,A12,musgo,rupicula,6,Amostra A12
S813_B1,B1,musgo,rupicula,7,Amostra B1
S813_B2,B2,musgo,terricola,1,Amostra B2
S813_B3,B3,musgo,terricola,2,Amostra B3
S813_B4,B4,musgo,terricola,3,Amostra B4
S813_NN_V3V4,Controle_Negativo,Controle,Nenhum,NA,Controle negativo
